"Time","Distance","Ground Speed","Engine RPM","Throttle Pos","Brake Pos","Clutch Pos","Steered Angle","G Force Lat","G Force Long","Eng Oil Temp","Eng Water Temp","Clutch RPM","Gear","Steering Arm Force","Fuel Level","G Force Vert","Susp Pos FL","Susp Pos FR","Susp Pos RL","Susp Pos RR","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","Tyre Pressure FL","Tyre Pressure FR","Tyre Pressure RL","Tyre Pressure RR","Tyre Load FL","Tyre Load FR","Tyre Load RL","Tyre Load RR","Lat Force FL","Lat Force FR","Lat Force RL","Lat Force RR","Slide Pct FL","Slide Pct FR","Slide Pct RL","Slide Pct RR","Tyre Temp FL Outer","Tyre Temp FL Centre","Tyre Temp FL Inner","Tyre Temp FR Inner","Tyre Temp FR Center","Tyre Temp FR Outer","Tyre Temp RL Outer","Tyre Temp RL Centre","Tyre Temp RL Inner","Tyre Temp RR Inner","Tyre Temp RR Center","Tyre Temp RR Outer","Wheel Rot Speed FL","Wheel Rot Speed FR","Wheel Rot Speed RL","Wheel Rot Speed RR","Tyre Wear FL","Tyre Wear FR","Tyre Wear RL","Tyre Wear RR","Rear Brake Bias","Engine Boost","FL Brake disc","FR Brake disc","RL Brake disc","RR Brake disc","Ambient Temperature","Track Temperature","Front Compound","Rear Compound"
"s","m","km/h","rpm","%","%","%","deg","G","G","C","C","rpm","","N","l","G","mm","mm","mm","mm","mm","mm","mm","mm","C","C","C","C","kPa","kPa","kPa","kPa","N","N","N","N","N","N","N","N","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","rad/s","rad/s","rad/s","rad/s","%","%","%","%","%","","cm","cm","cm","cm","C","C","",""
"0.000","0","172.7","5977","100.00","0.00","0.00","0.00","-0.01","-0.21","61.4","53.0","5977","4","0","17.70","0.06","22.7","22.7","31.8","31.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1772","1751","2932","2929","25","-51","-67","54","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-180.9","-180.9","-176.4","-177.0","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.100","5","173.2","6015","100.00","0.00","0.00","0.00","0.00","-0.20","61.4","53.0","6015","4","0","17.70","-0.32","22.5","22.8","31.0","31.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1301","1384","1985","2644","28","-31","-52","42","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-181.8","-181.7","-177.9","-177.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.200","10","174.0","6028","100.00","0.00","0.00","0.00","0.00","-0.24","61.4","53.0","6028","4","0","17.70","0.03","21.2","21.2","32.2","32.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1845","1843","2822","2776","41","-39","-56","59","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-182.4","-182.3","-178.5","-178.0","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.300","15","174.8","6050","100.00","0.00","0.00","0.00","-0.01","-0.19","61.4","53.0","6050","4","0","17.69","-0.04","19.4","21.9","34.0","34.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1553","1784","2929","2670","28","-46","-68","49","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-183.0","-183.0","-179.1","-178.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.400","19","175.5","6076","100.00","0.00","0.00","0.00","-0.01","-0.20","61.4","53.0","6076","4","0","17.69","-0.10","18.0","17.6","31.4","31.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1779","1705","2659","2488","29","-47","-77","32","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-183.6","-183.6","-179.8","-179.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.500","24","176.3","6091","100.00","0.00","0.00","0.00","-0.01","-0.21","61.4","53.0","6091","4","0","17.69","0.08","20.9","20.9","29.4","29.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1901","1891","2950","2949","30","-52","-85","37","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-184.5","-184.5","-180.3","-179.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.600","29","177.0","6124","100.00","0.00","0.00","0.00","0.00","-0.18","61.4","53.0","6124","4","0","17.69","-0.12","20.4","20.3","33.0","33.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1646","1630","2668","2663","31","-41","-65","47","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-185.2","-185.2","-181.3","-180.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.700","34","177.6","5934","0.00","0.00","0.00","0.00","0.00","-0.01","61.4","53.0","5934","0","0","17.69","-0.05","18.0","17.9","29.2","29.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1856","1842","2662","2670","33","-47","-62","53","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-185.8","-185.8","-179.0","-178.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.800","39","177.9","5405","100.00","0.00","0.00","0.00","-0.02","-0.20","61.4","53.0","5405","5","0","17.68","0.03","21.8","21.8","30.8","30.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1753","1731","3045","2957","16","-60","-93","32","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-186.3","-186.3","-181.7","-181.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"0.900","44","178.6","5437","100.00","0.00","0.00","0.00","-0.02","-0.19","61.4","53.0","5437","5","0","17.68","-0.19","18.3","18.2","31.7","31.6","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1635","1622","2525","2514","4","-68","-90","16","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-186.8","-186.7","-182.9","-182.4","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.000","49","179.3","5448","100.00","0.00","0.00","0.00","-0.04","-0.20","61.4","53.0","5448","5","0","17.68","0.00","18.8","18.7","28.0","28.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1879","1859","2814","2778","-12","-92","-118","-1","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-187.5","-187.4","-183.3","-182.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.100","54","179.9","5470","100.00","0.00","0.00","0.00","-0.05","-0.18","61.4","53.0","5470","5","0","17.68","-0.10","20.6","20.5","31.5","31.3","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1649","1622","2784","2752","-12","-84","-137","-20","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-188.3","-188.2","-184.0","-183.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.200","59","180.6","5496","100.00","0.00","0.00","0.00","-0.05","-0.20","61.4","53.0","5496","5","0","17.68","-0.16","16.8","16.7","29.2","29.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1757","1725","2532","2496","-22","-97","-131","-23","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-188.8","-188.7","-184.9","-184.4","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.300","64","181.3","5504","100.00","0.00","0.00","0.00","-0.06","-0.19","61.4","53.0","5504","5","0","17.67","0.04","20.7","20.5","28.7","28.5","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1880","1836","2984","2938","-39","-117","-160","-35","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-189.7","-189.6","-185.2","-184.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.400","69","181.9","5534","100.00","0.00","0.00","0.00","-0.07","-0.17","61.4","53.0","5534","5","0","17.67","-0.17","19.3","19.1","31.9","31.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1686","1648","2625","2574","-47","-118","-160","-47","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-190.4","-190.2","-186.2","-185.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.4","1","1"
"1.500","74","182.6","5548","100.00","0.00","0.00","0.00","-0.08","-0.20","61.4","53.0","5548","5","0","17.67","0.00","18.9","18.6","28.6","28.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1974","1916","2847","2790","-48","-129","-193","-72","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-191.0","-190.9","-186.7","-186.1","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"1.600","79","183.2","5565","100.00","0.00","0.00","0.00","-0.07","-0.17","61.4","53.0","5565","5","0","17.67","0.03","22.8","22.6","32.2","32.0","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1874","1837","3019","2970","-25","-105","-187","-60","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-191.9","-191.7","-187.3","-186.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"1.700","84","183.8","5592","100.00","0.00","0.00","0.00","-0.05","-0.18","61.4","53.0","5592","5","0","17.67","-0.08","19.4","19.3","32.6","32.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1860","1827","2729","2693","-15","-94","-134","-18","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-192.4","-192.3","-188.1","-187.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"1.800","90","184.5","5600","100.00","0.00","0.00","0.00","-0.04","-0.18","61.4","53.0","5600","5","0","17.66","0.17","23.1","22.9","31.4","31.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2095","2069","3196","3168","-2","-91","-133","-1","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-193.3","-193.2","-188.4","-187.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"1.900","95","185.0","5628","100.00","0.00","0.00","0.00","-0.03","-0.16","61.4","53.0","5628","5","0","17.66","-0.04","22.8","22.7","36.0","35.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1807","1790","2922","2893","-1","-79","-117","6","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-193.9","-193.8","-189.4","-188.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.000","100","185.7","5643","100.00","0.00","0.00","0.00","-0.03","-0.19","61.4","53.0","5643","5","0","17.66","0.07","21.0","20.9","32.4","32.3","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2062","2036","2976","2957","12","-76","-118","5","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-194.5","-194.4","-189.9","-189.4","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.100","105","186.2","5658","100.00","0.00","0.00","0.00","-0.03","-0.16","61.4","53.0","5658","5","0","17.66","0.11","24.7","24.6","35.2","35.1","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1938","1926","3201","3180","21","-63","-118","14","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-195.2","-195.2","-190.4","-189.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.200","110","186.8","5685","100.00","0.00","0.00","0.00","-0.02","-0.17","61.4","53.0","5685","5","0","17.66","-0.08","20.6","20.6","35.0","34.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1878","1862","2760","2736","14","-67","-94","21","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-195.7","-195.6","-191.3","-190.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.300","115","187.4","5690","100.00","0.00","0.00","0.00","-0.02","-0.17","61.4","53.0","5690","5","0","17.65","0.17","23.4","23.3","32.8","32.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2114","2099","3221","3205","19","-71","-104","27","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-196.4","-196.3","-191.4","-190.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.400","121","187.9","5715","100.00","0.00","0.00","0.00","-0.02","-0.15","61.4","53.0","5715","5","0","17.65","-0.03","23.3","23.3","36.7","36.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1835","1830","2970","2949","29","-52","-94","30","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-197.0","-197.0","-192.3","-191.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.500","126","188.5","5730","100.00","0.00","0.00","0.00","-0.01","-0.17","61.4","53.0","5730","5","0","17.65","0.08","21.4","21.4","33.2","33.1","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2109","2096","3005","2997","35","-56","-89","35","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-197.5","-197.5","-192.8","-192.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.600","131","189.1","5742","100.00","0.00","0.00","0.00","-0.01","-0.14","61.4","53.0","5742","5","0","17.65","0.16","25.7","25.7","36.2","36.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2013","2014","3332","3320","36","-51","-85","51","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-198.3","-198.3","-193.2","-192.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.700","136","189.6","5768","100.00","0.00","0.00","0.00","0.00","-0.15","61.4","53.0","5768","5","0","17.65","-0.02","21.9","21.9","36.4","36.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1964","1961","2883","2875","41","-45","-67","53","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-198.7","-198.7","-194.0","-193.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.800","142","190.1","5772","100.00","0.00","0.00","0.00","-0.01","-0.15","61.4","53.0","5772","5","0","17.64","0.24","25.1","25.1","34.8","34.8","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2202","2202","3370","3367","40","-54","-76","61","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-199.4","-199.4","-194.2","-193.7","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"2.900","147","190.6","5797","100.00","0.00","0.00","0.00","-0.01","-0.13","61.4","53.0","5797","5","0","17.64","0.00","24.4","24.5","38.7","38.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1901","1907","3039","3029","33","-50","-71","55","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-199.9","-199.9","-195.0","-194.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.000","152","191.1","5809","100.00","0.00","0.00","0.00","0.00","-0.16","61.4","53.0","5809","5","0","17.64","0.09","22.3","22.3","34.5","34.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2138","2130","3053","3034","53","-38","-72","54","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-200.3","-200.3","-195.4","-195.0","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.100","158","191.6","5821","100.00","0.00","0.00","0.00","0.00","-0.13","61.4","53.0","5821","5","0","17.64","0.08","25.5","25.6","37.2","37.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1913","1926","3263","3254","35","-49","-72","62","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-201.0","-201.0","-195.8","-195.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.200","163","190.4","5521","16.67","100.00","0.00","0.00","0.00","1.45","61.4","53.0","5521","5","0","17.64","-0.12","20.7","20.8","34.9","34.8","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2135","2143","2471","2464","32","-35","-57","43","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-187.8","-187.8","-185.8","-185.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.300","168","182.9","5175","0.00","100.00","0.00","0.00","-0.01","2.29","61.4","53.0","5175","5","0","17.64","0.10","26.7","26.7","30.2","30.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2445","2451","2608","2594","20","-41","-53","34","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-177.0","-177.1","-174.1","-173.6","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.400","173","175.2","4913","0.00","96.88","0.00","0.00","-0.01","2.10","61.4","53.0","4913","5","0","17.64","-0.14","25.5","25.6","30.7","30.7","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2064","2077","2174","2149","14","-31","-45","25","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-166.1","-166.3","-165.3","-164.8","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.500","177","167.7","5599","33.23","97.15","0.00","0.00","-0.01","2.15","61.4","53.0","5599","0","0","17.64","-0.02","23.5","23.5","25.2","25.1","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2262","2262","2151","2133","15","-32","-46","25","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-158.7","-159.0","-158.6","-158.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.600","182","160.0","5437","16.61","100.00","0.00","0.00","0.00","2.14","61.4","53.0","5437","0","0","17.64","0.04","26.6","26.7","25.7","25.6","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2131","2149","2295","2286","41","2","-53","22","94.5","95.6","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-149.2","-149.4","-151.4","-151.2","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.700","186","152.9","4852","0.00","89.40","0.00","0.00","0.02","1.95","61.4","53.0","4852","4","0","17.64","-0.11","23.2","23.4","26.2","26.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1918","1947","1940","1938","63","33","-22","40","84.1","85.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-140.7","-141.0","-143.4","-143.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.800","190","146.0","4657","0.00","77.14","0.00","0.00","0.05","1.97","61.4","53.0","4657","4","0","17.64","-0.01","21.9","22.1","22.1","22.2","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","2048","2087","1936","1969","92","53","25","89","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-138.0","-138.4","-137.5","-137.9","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"3.900","194","139.1","5477","36.32","97.09","0.00","0.00","0.05","1.91","61.4","53.0","5477","0","0","17.64","0.02","24.2","24.4","22.5","22.6","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1923","1969","2044","2064","57","18","61","131","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-131.0","-131.9","-131.2","-131.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"4.000","198","132.6","5282","15.40","89.98","0.00","0.00","0.02","1.79","61.4","53.0","5282","0","0","17.64","-0.11","21.7","21.9","23.8","23.8","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1722","1746","1799","1797","10","-18","30","87","81.9","84.4","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-121.3","-121.8","-124.0","-124.1","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"4.100","201","126.4","4722","0.00","70.73","0.00","0.00","-0.02","1.75","61.4","53.0","4722","3","0","17.64","-0.09","19.0","19.0","20.4","20.4","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1804","1796","1689","1659","-50","-82","-31","22","85.7","87.3","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-117.1","-117.3","-118.3","-118.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"4.200","205","120.2","4524","0.00","67.92","0.00","0.00","-0.11","1.73","61.4","53.0","4524","3","0","17.64","0.00","20.8","20.6","18.6","18.3","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1866","1794","1842","1750","-183","-218","-129","-65","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-115.8","-115.4","-113.4","-113.3","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
"4.300","208","114.3","4290","0.00","70.54","0.00","0.00","-0.17","1.65","61.4","53.0","4290","3","0","17.64","-0.04","21.3","21.0","20.5","19.9","0.0","0.0","0.0","0.0","-273","-273","-273","-273","0.00","0.00","0.00","0.00","1729","1643","1836","1666","-254","-271","-242","-170","100.0","100.0","100.0","100.0","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-273.15","-110.4","-109.3","-107.5","-107.5","99.88","99.88","99.79","99.76","0.00","1","0.000","0.000","0.000","0.781","26.7","31.5","1","1"
